candidate_id,rank,score,reasoning
CAND_0077337,1,0.8128,"Staff Machine Learning Engineer with 7.0yrs experience; AI/ML skills: rag, bm25, pinecone, qdrant; 7.0yrs (ideal), 4 senior roles; open to work; active this month; strong academic background (tier 1)"
CAND_0088025,2,0.7912,"Staff Machine Learning Engineer with 8.6yrs experience; AI/ML skills: rag, bm25, transformers, pinecone; 8.6yrs (ideal), 3 senior roles; open to work; active <90d; strong academic background (tier 2)"
CAND_0018499,3,0.7487,"Senior Machine Learning Engineer with 7.2yrs experience; AI/ML skills: rag, milvus, embeddings, weaviate; 7.2yrs (ideal), 3 senior roles; open to work; active <90d; strong academic background (tier 1); available soon (notice: 15d)"
CAND_0071974,4,0.7475,"Senior AI Engineer with 7.8yrs experience; AI/ML skills: bm25, embeddings, weaviate, pinecone; 7.8yrs (ideal), 3 senior roles; open to work; active <90d; strong academic background (tier 1)"
CAND_0002025,5,0.7327,"Senior AI Engineer with 5.9yrs experience; AI/ML skills: opensearch, weaviate, transformers, pinecone; 5.9yrs (ideal), 2 senior roles; open to work; active this month; strong academic background (tier 1); available soon (notice: 30d)"
CAND_0086022,6,0.7247,"Senior Applied Scientist with 5.3yrs experience; AI/ML skills: elasticsearch, embeddings, fine-tuning, transformers; 5.3yrs (ideal), 2 senior roles; open to work; active <90d; strong academic background (tier 1); available soon (notice: 0d)"
CAND_0055905,7,0.7195,"Senior Machine Learning Engineer with 8.1yrs experience; AI/ML skills: elasticsearch, langchain, python, transformers; 8.1yrs (ideal), 3 senior roles; open to work; active <90d; strong academic background (tier 2); available soon (notice: 30d)"
CAND_0011687,8,0.7186,"Senior NLP Engineer with 7.8yrs experience; AI/ML skills: opensearch, embeddings, langchain, weaviate; 7.8yrs (ideal), 2 senior roles; open to work; active <90d; strong academic background (tier 1); available soon (notice: 15d)"
CAND_0046064,9,0.7156,"Senior NLP Engineer with 8.9yrs experience; AI/ML skills: opensearch, elasticsearch, bm25, python; 8.9yrs (ideal), 3 senior roles; open to work; active <90d; strong academic background (tier 1); available soon (notice: 30d)"
CAND_0081846,10,0.7140,"Lead AI Engineer with 6.7yrs experience; AI/ML skills: elasticsearch, embeddings, bm25, python; 6.7yrs (ideal), 2 senior roles; open to work; active <90d; strong academic background (tier 1); available soon (notice: 30d)"
CAND_0033861,11,0.7132,"Senior NLP Engineer with 8.0yrs experience; AI/ML skills: elasticsearch, weaviate, pinecone, qdrant; 8.0yrs (ideal), 3 senior roles; notice 30d (ideal); strong academic background (tier 2); available soon (notice: 30d)"
CAND_0078492,12,0.7072,"Recommendation Systems Engineer with 5.1yrs experience; AI/ML skills: bm25, transformers, qdrant, llm; 5.1yrs (ideal), 1 senior roles; open to work; active <90d; strong academic background (tier 1); available soon (notice: 30d)"
CAND_0037944,13,0.6969,"Senior Data Scientist with 4.9yrs experience; AI/ML skills: opensearch, embeddings, python, transformers; 4.9yrs (good range), 1 senior roles; open to work; active <90d; strong academic background (tier 1); available soon (notice: 30d)"
CAND_0099806,14,0.6969,"AI Engineer with 4.6yrs experience; AI/ML skills: rag, embeddings, weaviate, transformers; 4.6yrs (good range); open to work; active <90d; strong academic background (tier 1); available soon (notice: 30d)"
CAND_0061265,15,0.6926,"Recommendation Systems Engineer with 6.6yrs experience; AI/ML skills: milvus, embeddings, langchain, transformers; 6.6yrs (ideal), 2 senior roles; open to work; active <90d; strong academic background (tier 1)"
CAND_0036184,16,0.6881,"Recommendation Systems Engineer with 6.0yrs experience; AI/ML skills: embeddings, langchain, transformers, pinecone; 6.0yrs (ideal); open to work; active this month; strong academic background (tier 2); available soon (notice: 30d)"
CAND_0075574,17,0.6868,"Machine Learning Engineer with 5.7yrs experience; AI/ML skills: opensearch, elasticsearch, weaviate, transformers; 5.7yrs (ideal); open to work; active <90d; strong academic background (tier 1)"
CAND_0007009,18,0.6825,"Recommendation Systems Engineer with 7.9yrs experience; AI/ML skills: bm25, embeddings, weaviate, python; 7.9yrs (ideal); open to work; notice 30d (ideal); available soon (notice: 30d)"
CAND_0066999,19,0.6764,"Recommendation Systems Engineer with 5.9yrs experience; AI/ML skills: opensearch, bm25, pinecone, llm; 5.9yrs (ideal), 1 senior roles; open to work; active <90d; strong academic background (tier 1); available soon (notice: 15d)"
CAND_0050454,20,0.6756,"AI Engineer with 6.8yrs experience; AI/ML skills: bm25, langchain, fine-tuning, qdrant; 6.8yrs (ideal); open to work; active <90d; available soon (notice: 30d)"
CAND_0039754,21,0.6754,"Senior Applied Scientist with 16.2yrs experience; AI/ML skills: opensearch, bm25, fine-tuning, qdrant; 16.2yrs (out of range), 3 senior roles; open to work; active <90d; strong academic background (tier 1); available soon (notice: 30d)"
CAND_0020708,22,0.6736,"Search Engineer with 4.2yrs experience; AI/ML skills: elasticsearch, langchain, python, fine-tuning; 4.2yrs (good range); open to work; active <90d; strong academic background (tier 2); available soon (notice: 30d)"
CAND_0044222,23,0.6730,"AI Engineer with 7.7yrs experience; AI/ML skills: opensearch, bm25, langchain, weaviate; 7.7yrs (ideal); open to work; active <90d; strong academic background (tier 1)"
CAND_0076163,24,0.6691,"NLP Engineer with 6.9yrs experience; AI/ML skills: bm25, langchain, weaviate, python; 6.9yrs (ideal); open to work; active <90d; strong academic background (tier 2)"
CAND_0041611,25,0.6678,"Staff Machine Learning Engineer with 6.4yrs experience; AI/ML skills: opensearch, bm25, weaviate, fine-tuning; 6.4yrs (ideal), 3 senior roles; inactive 198d; notice 30d (ideal); available soon (notice: 30d)"
CAND_0052682,26,0.6657,"NLP Engineer with 6.6yrs experience; AI/ML skills: embeddings, python, fine-tuning, llm; 6.6yrs (ideal); open to work; active <90d; strong academic background (tier 1); available soon (notice: 30d)"
CAND_0064326,27,0.6619,"Search Engineer with 7.6yrs experience; AI/ML skills: rag, milvus, bm25, weaviate; 7.6yrs (ideal); open to work; active this month; strong academic background (tier 2)"
CAND_0093547,28,0.6601,"Senior Machine Learning Engineer with 2.9yrs experience; AI/ML skills: rag, milvus, python, llm; 2.9yrs (out of range), 3 senior roles; active <90d; high response rate (75%); strong academic background (tier 1)"
CAND_0053591,29,0.6600,"AI Engineer with 5.3yrs experience; AI/ML skills: opensearch, milvus, embeddings, langchain; 5.3yrs (ideal); open to work; active <90d; strong academic background (tier 2)"
CAND_0096142,30,0.6583,"Applied ML Engineer with 5.0yrs experience; AI/ML skills: rag, bm25, weaviate, python; 5.0yrs (ideal); open to work; active this month; strong academic background (tier 1)"
CAND_0055992,31,0.6560,"AI Engineer with 16.9yrs experience; AI/ML skills: opensearch, rag, embeddings, langchain; 16.9yrs (out of range), 1 senior roles; open to work; active <90d; strong academic background (tier 1)"
CAND_0095528,32,0.6511,"Senior Data Scientist with 5.3yrs experience; AI/ML skills: opensearch, elasticsearch, fine-tuning, python; 5.3yrs (ideal), 1 senior roles; open to work; active <90d; strong academic background (tier 1)"
CAND_0014440,33,0.6466,"Recommendation Systems Engineer with 6.4yrs experience; AI/ML skills: elasticsearch, milvus, fine-tuning, qdrant; 6.4yrs (ideal); open to work; active <90d; strong academic background (tier 2)"
CAND_0091909,34,0.6449,"Machine Learning Engineer with 6.9yrs experience; AI/ML skills: opensearch, transformers, pinecone, qdrant; 6.9yrs (ideal); open to work; notice 45d; strong academic background (tier 1)"
CAND_0081686,35,0.6429,"Search Engineer with 6.0yrs experience; AI/ML skills: milvus, embeddings, langchain, python; 6.0yrs (ideal); active <90d; high response rate (91%); strong academic background (tier 1)"
CAND_0015578,36,0.6394,"AI Engineer with 5.4yrs experience; AI/ML skills: bm25, embeddings, transformers, pinecone; 5.4yrs (ideal); open to work; active <90d; strong academic background (tier 1)"
CAND_0086151,37,0.6350,"Recommendation Systems Engineer with 7.7yrs experience; AI/ML skills: opensearch, embeddings, langchain, transformers; 7.7yrs (ideal); open to work; active <90d"
CAND_0068351,38,0.6350,"Lead AI Engineer with 6.4yrs experience; AI/ML skills: ranking, python, qdrant, elasticsearch; 6.4yrs (ideal), 3 senior roles; active <90d; high response rate (86%); strong academic background (tier 1); available soon (notice: 0d)"
CAND_0080766,39,0.6342,"Staff Machine Learning Engineer with 8.8yrs experience; AI/ML skills: opensearch, python, elasticsearch, milvus; 8.8yrs (ideal), 4 senior roles; active <90d; immediate joiner; strong academic background (tier 2); available soon (notice: 0d)"
CAND_0037566,40,0.6336,"Machine Learning Engineer with 6.9yrs experience; AI/ML skills: elasticsearch, bm25, langchain, pinecone; 6.9yrs (ideal); open to work; active <90d; strong academic background (tier 2); available soon (notice: 15d)"
CAND_0087630,41,0.6323,"AI Engineer with 7.2yrs experience; AI/ML skills: transformers, elasticsearch, embeddings, bm25; 7.2yrs (ideal); notice 30d (ideal); strong academic background (tier 2); available soon (notice: 30d)"
CAND_0006418,42,0.6299,"Machine Learning Engineer with 5.7yrs experience; AI/ML skills: opensearch, elasticsearch, embeddings, weaviate; 5.7yrs (ideal); open to work; active <90d; strong academic background (tier 1)"
CAND_0070398,43,0.6294,"Machine Learning Engineer with 7.2yrs experience; AI/ML skills: rag, bm25, embeddings, python; 7.2yrs (ideal); open to work; active <90d; strong academic background (tier 2)"
CAND_0020350,44,0.6290,"AI Engineer with 5.8yrs experience; AI/ML skills: bm25, fine-tuning, transformers, llm; 5.8yrs (ideal); open to work; active <90d; strong academic background (tier 2); available soon (notice: 30d)"
CAND_0068811,45,0.6283,"Applied ML Engineer with 8.0yrs experience; AI/ML skills: opensearch, embeddings, weaviate, pinecone; 8.0yrs (ideal); open to work; active this month; strong academic background (tier 2); available soon (notice: 30d)"
CAND_0045250,46,0.6281,"Applied ML Engineer with 6.6yrs experience; AI/ML skills: bm25, embeddings, milvus, langchain; 6.6yrs (ideal); active <90d; high response rate (74%); available soon (notice: 15d)"
CAND_0079387,47,0.6277,"AI Engineer with 6.9yrs experience; AI/ML skills: opensearch, python, transformers, bm25; 6.9yrs (ideal); open to work; active <90d; strong academic background (tier 1); available soon (notice: 30d)"
CAND_0046525,48,0.6272,"Senior Machine Learning Engineer with 6.1yrs experience; AI/ML skills: elasticsearch, langchain, transformers, qdrant; 6.1yrs (ideal), 2 senior roles; open to work; active this month; strong academic background (tier 2)"
CAND_0018549,49,0.6246,"Recommendation Systems Engineer with 6.8yrs experience; AI/ML skills: elasticsearch, milvus, langchain, weaviate; 6.8yrs (ideal); open to work; active <90d; strong academic background (tier 1)"
CAND_0051292,50,0.6214,"Applied ML Engineer with 5.2yrs experience; AI/ML skills: rag, elasticsearch, fine-tuning, llm; 5.2yrs (ideal); open to work; active <90d; strong academic background (tier 2); available soon (notice: 30d)"
CAND_0064904,51,0.6207,"AI Engineer with 4.9yrs experience; AI/ML skills: elasticsearch, embeddings, python, transformers; 4.9yrs (good range); open to work; high response rate (78%); strong academic background (tier 2)"
CAND_0029367,52,0.6206,"Senior Data Scientist with 5.7yrs experience; AI/ML skills: rag, langchain, transformers, pinecone; 5.7yrs (ideal), 1 senior roles, short avg tenure (<18mo); open to work; active this month; strong academic background (tier 2)"
CAND_0076251,53,0.6197,"Search Engineer with 7.6yrs experience; AI/ML skills: elasticsearch, weaviate, fine-tuning, transformers; 7.6yrs (ideal), 1 senior roles; open to work; active <90d; strong academic background (tier 2)"
CAND_0030468,54,0.6181,"Senior Applied Scientist with 5.4yrs experience; AI/ML skills: opensearch, ranking, milvus; 5.4yrs (ideal), 3 senior roles; open to work; active <90d; strong academic background (tier 1)"
CAND_0011162,55,0.6158,"Recommendation Systems Engineer with 5.8yrs experience; AI/ML skills: opensearch, milvus, langchain, transformers; 5.8yrs (ideal); open to work; active <90d; strong academic background (tier 2)"
CAND_0040117,56,0.6128,"Recommendation Systems Engineer with 6.5yrs experience; AI/ML skills: rag, bm25, embeddings, langchain; 6.5yrs (ideal); open to work; notice 15d (ideal); strong academic background (tier 1); available soon (notice: 15d)"
CAND_0042029,57,0.6119,"Senior Data Scientist with 6.5yrs experience; AI/ML skills: opensearch, rag, elasticsearch, embeddings; 6.5yrs (ideal), 1 senior roles; active <90d; notice 45d; strong academic background (tier 2)"
CAND_0030827,58,0.6113,"Senior Data Scientist with 5.4yrs experience; AI/ML skills: bm25, qdrant, transformers, faiss; 5.4yrs (ideal), 1 senior roles; open to work; active <90d; strong academic background (tier 2)"
CAND_0020877,59,0.6103,"Applied ML Engineer with 5.1yrs experience; AI/ML skills: opensearch, elasticsearch, milvus, weaviate; 5.1yrs (ideal), 1 senior roles; active <90d; notice 60d; strong academic background (tier 1)"
CAND_0065195,60,0.6101,"Search Engineer with 5.1yrs experience; AI/ML skills: transformers, elasticsearch, llm, qdrant; 5.1yrs (ideal), 1 senior roles; open to work; active this month; strong academic background (tier 1)"
CAND_0092245,61,0.6097,"Senior Data Scientist with 4.1yrs experience; AI/ML skills: rag, embeddings, transformers, qdrant; 4.1yrs (good range), 1 senior roles; open to work; active <90d; strong academic background (tier 1)"
CAND_0069905,62,0.6091,"Applied ML Engineer with 6.6yrs experience; AI/ML skills: weaviate, python, transformers, langchain; 6.6yrs (ideal); open to work; active <90d; strong academic background (tier 2)"
CAND_0060072,63,0.6087,"Staff Machine Learning Engineer with 5.7yrs experience; AI/ML skills: milvus, bm25, fine-tuning, transformers; 5.7yrs (ideal), 2 senior roles; strong academic background (tier 2)"
CAND_0000031,64,0.6086,"Recommendation Systems Engineer with 6.0yrs experience; AI/ML skills: pinecone, transformers, embeddings, faiss; 6.0yrs (ideal); open to work; active this month; strong academic background (tier 2)"
CAND_0094759,65,0.6080,"Lead AI Engineer with 8.6yrs experience; AI/ML skills: weaviate, fine-tuning, transformers, qdrant; 8.6yrs (ideal), 3 senior roles; notice 30d (ideal); strong academic background (tier 2); available soon (notice: 30d)"
CAND_0087364,66,0.6058,"Recommendation Systems Engineer with 4.9yrs experience; AI/ML skills: opensearch, rag, milvus, pinecone; 4.9yrs (good range); active <90d; notice 30d (ideal); available soon (notice: 30d)"
CAND_0061655,67,0.6057,"Machine Learning Engineer with 4.6yrs experience; AI/ML skills: opensearch, bm25, langchain, pinecone; 4.6yrs (good range); active this month; high response rate (88%); strong academic background (tier 1); available soon (notice: 15d)"
CAND_0039838,68,0.6055,"Recommendation Systems Engineer with 4.9yrs experience; AI/ML skills: rag, milvus, embeddings, langchain; 4.9yrs (good range); open to work; active <90d; strong academic background (tier 1)"
CAND_0054123,69,0.6038,"Applied ML Engineer with 4.7yrs experience; AI/ML skills: langchain, weaviate, python, transformers; 4.7yrs (good range); active <90d; high response rate (87%); strong academic background (tier 1)"
CAND_0009691,70,0.6026,"Applied ML Engineer with 6.2yrs experience; AI/ML skills: langchain, fine-tuning, transformers, pinecone; 6.2yrs (ideal); open to work; active <90d; strong academic background (tier 2)"
CAND_0075249,71,0.6025,"Applied ML Engineer with 6.2yrs experience; AI/ML skills: milvus, bm25, fine-tuning, transformers; 6.2yrs (ideal); open to work; active <90d; strong academic background (tier 1)"
CAND_0074225,72,0.6004,"Machine Learning Engineer with 4.3yrs experience; AI/ML skills: elasticsearch, milvus, python, transformers; 4.3yrs (good range); open to work; active this month; strong academic background (tier 2)"
CAND_0006567,73,0.5999,"Senior AI Engineer with 7.9yrs experience; AI/ML skills: ranking, python, bm25; 7.9yrs (ideal), 3 senior roles; open to work; active <90d; strong academic background (tier 1)"
CAND_0031593,74,0.5961,"Search Engineer with 7.8yrs experience; AI/ML skills: elasticsearch, embeddings, langchain, bm25; 7.8yrs (ideal); open to work; strong academic background (tier 2)"
CAND_0057563,75,0.5954,"NLP Engineer with 6.8yrs experience; AI/ML skills: opensearch, transformers, rag, elasticsearch; 6.8yrs (ideal), 1 senior roles; active <90d; high response rate (83%); strong academic background (tier 1)"
CAND_0032807,76,0.5951,"Machine Learning Engineer with 4.2yrs experience; AI/ML skills: opensearch, python, fine-tuning, transformers; 4.2yrs (good range); open to work; active <90d; strong academic background (tier 1)"
CAND_0041610,77,0.5938,"Recommendation Systems Engineer with 6.7yrs experience; AI/ML skills: opensearch, bm25, elasticsearch, embeddings; 6.7yrs (ideal), short avg tenure (<18mo); open to work; active <90d; strong academic background (tier 2); available soon (notice: 30d)"
CAND_0052328,78,0.5938,"Recommendation Systems Engineer with 6.5yrs experience; AI/ML skills: opensearch, fine-tuning, transformers, python; 6.5yrs (ideal), 1 senior roles; open to work; active <90d; strong academic background (tier 2); available soon (notice: 30d)"
CAND_0019480,79,0.5933,"NLP Engineer with 2.8yrs experience; AI/ML skills: opensearch, bm25, milvus, langchain; 2.8yrs (out of range), 2 senior roles; open to work; active <90d; strong academic background (tier 2)"
CAND_0096172,80,0.5921,"NLP Engineer with 5.2yrs experience; AI/ML skills: opensearch, rag, elasticsearch, langchain; 5.2yrs (ideal); active <90d; notice 45d; strong academic background (tier 1)"
CAND_0044855,81,0.5910,"Senior Data Scientist with 6.6yrs experience; AI/ML skills: opensearch, embeddings, transformers, pinecone; 6.6yrs (ideal), 1 senior roles; active <90d; notice 60d; strong academic background (tier 2)"
CAND_0041669,82,0.5896,"Recommendation Systems Engineer with 8.0yrs experience; AI/ML skills: weaviate, qdrant, milvus, faiss; 8.0yrs (ideal); open to work; active <90d; strong academic background (tier 1)"
CAND_0072660,83,0.5895,"Machine Learning Engineer with 7.1yrs experience; AI/ML skills: opensearch, python, elasticsearch, faiss; 7.1yrs (ideal); open to work; active this month; strong academic background (tier 2); available soon (notice: 30d)"
CAND_0012957,84,0.5887,"Search Engineer with 4.9yrs experience; AI/ML skills: rag, bm25, langchain, python; 4.9yrs (good range); active <90d; strong academic background (tier 2)"
CAND_0008425,85,0.5884,"Senior NLP Engineer with 7.8yrs experience; AI/ML skills: transformers, python, qdrant; 7.8yrs (ideal), 3 senior roles; open to work; active <90d; strong academic background (tier 1)"
CAND_0094056,86,0.5883,"NLP Engineer with 5.9yrs experience; AI/ML skills: bm25, milvus, fine-tuning, transformers; 5.9yrs (ideal); active <90d; high response rate (82%); strong academic background (tier 2)"
CAND_0049538,87,0.5875,"Applied ML Engineer with 5.8yrs experience; AI/ML skills: opensearch, milvus, embeddings, elasticsearch; 5.8yrs (ideal), short avg tenure (<18mo); active this month; high response rate (72%); strong academic background (tier 1); available soon (notice: 30d)"
CAND_0051630,88,0.5867,"Machine Learning Engineer with 6.0yrs experience; AI/ML skills: opensearch, elasticsearch, embeddings, python; 6.0yrs (ideal); active <90d; strong academic background (tier 2)"
CAND_0047721,89,0.5859,"Senior Data Scientist with 7.0yrs experience; AI/ML skills: rag, milvus, bm25, qdrant; 7.0yrs (ideal), 1 senior roles; active <90d; strong academic background (tier 1)"
CAND_0008239,90,0.5857,"AI Engineer with 4.0yrs experience; AI/ML skills: milvus, elasticsearch, langchain, weaviate; 4.0yrs (good range); open to work; high response rate (73%); strong academic background (tier 1); available soon (notice: 15d)"
CAND_0030031,91,0.5843,"AI Engineer with 5.7yrs experience; AI/ML skills: rag, bm25, milvus, python; 5.7yrs (ideal), 1 senior roles; active this month; high response rate (94%); strong academic background (tier 1); available soon (notice: 30d)"
CAND_0037000,92,0.5842,"Search Engineer with 2.7yrs experience; AI/ML skills: embeddings, langchain, transformers, pinecone; 2.7yrs (out of range); active <90d; notice 15d (ideal); available soon (notice: 15d)"
CAND_0006557,93,0.5841,"NLP Engineer with 7.9yrs experience; AI/ML skills: opensearch, elasticsearch, weaviate, pinecone; 7.9yrs (ideal); open to work; active <90d"
CAND_0030953,94,0.5831,"Search Engineer with 7.8yrs experience; AI/ML skills: rag, weaviate, python, transformers; 7.8yrs (ideal), short avg tenure (<18mo); active <90d; notice 45d; strong academic background (tier 2)"
CAND_0050876,95,0.5800,"Applied ML Engineer with 6.0yrs experience; AI/ML skills: opensearch, python, transformers, qdrant; 6.0yrs (ideal), short avg tenure (<18mo); open to work; active this month; strong academic background (tier 1)"
CAND_0043228,96,0.5799,"Applied ML Engineer with 6.8yrs experience; AI/ML skills: weaviate, transformers, opensearch; 6.8yrs (ideal); active this month; notice 30d (ideal); strong academic background (tier 1); available soon (notice: 30d)"
CAND_0042100,97,0.5784,"Machine Learning Engineer with 7.3yrs experience; AI/ML skills: fine-tuning, elasticsearch, llm, pinecone; 7.3yrs (ideal), 1 senior roles; open to work; active <90d; strong academic background (tier 2)"
CAND_0036863,98,0.5769,"Senior Data Scientist with 4.3yrs experience; AI/ML skills: opensearch, faiss, qdrant, bm25; 4.3yrs (good range), 1 senior roles; open to work; active <90d; strong academic background (tier 2)"
CAND_0013536,99,0.5756,"Applied ML Engineer with 14.1yrs experience; AI/ML skills: milvus, embeddings, elasticsearch, pinecone; 14.1yrs (out of range); open to work; active <90d"
CAND_0003791,100,0.5715,"ML Engineer with 6.6yrs experience; AI/ML skills: bm25, weaviate, python, transformers; 6.6yrs (ideal); open to work; notice 45d"
